ID	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae	2	0.0	1	3	0.0	2	0.0	0.0	2	6	1	2	1	2	0.0	5
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae	726	166	286	307	145	523	39	129	325	288	758	3371	957	305	557	532
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	101	36	27	88	2	121	331	177	17	68315	74	54	144	131	189	651
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	5305	7326	218	14915	10381	18333	83	47	57	77	738	7083	5491	349	14644	2277
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1743716	171026	43526	618035	33844	1488334	62761	5608	3470	153386	857365	4123926	1911205	1085297	1131685	657509
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	8996	1700	445	543	44	323	15287	731	698019	415331	595	556	279	6591	365	317
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	461	214	64	549	67	572	3756	11342	5692	79442	1915	379	479	307	852	818
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae	0.0	0.0	0.0	0.0	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae	0.0	0.0	2	0.0	0.0	0.0	26	1	0.0	90	0.0	0.0	0.0	1	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Spirosomaceae	0.0	0.0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	1	8	3	0.0	0.0	1	0.0	0.0	3	8	2	3	1	1	1	0.0
d__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae	11	4	15	15	1	19	112	1293	124	7	29	2	5	10	3	4
d__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0	0.0	4	0.0	0.0	3	23	0.0	0.0	0.0	1	0.0	1	0.0	0.0	0.0
d__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0
d__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	441	591	219	5352	613	7732	1821	97	346	106	4387	7625	3948	16319	35574	1263
d__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	4845	38	25	536	99	277	0.0	0.0	0.0	173	119	104	2	2	11	164
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanoperiomorbia|o__Candidatus Nanoperiomorbales|f__Candidatus Nanoperiomorbaceae	0.0	0.0	0.0	0.0	0.0	0.0	120	0.0	1	0.0	1	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanosyncoccalia|o__Candidatus Nanogingivales|f__Candidatus Nanogingivalaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Nanosyncoccalia|o__Candidatus Nanosyncoccales|f__Candidatus Nanosyncoccacae	0.0	0.0	1	1	2	1	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonadia|o__Candidatus Nanosynbacterales|f__Candidatus Nanosynbacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	91	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonadia|o__Candidatus Saccharimonadales|f__Candidatus Saccharimonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	157	1	1	1	0.0	0.0	1	1	0.0	0.0
d__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae	34	106	11	5192	17755	8003	49	360	149	186	7548	472	931	569	2700	37435
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae	0.0	0.0	0.0	0.0	0.0	0.0	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__Dehalococcoidales|f__Dehalococcoidaceae	0.0	0.0	1	2	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	36
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales|f__Thermosporotrichaceae	1	2	7	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae	0.0	0.0	0.0	14	0.0	0.0	0.0	0.0	0.0	0.0	1	3	0.0	0.0	0.0	0.0
d__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae	0.0	1	17	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
